interval_sec,num_actions
0,1261
1,1096
2,1114
3,978
4,1092
5,1092
6,908
7,1006
8,945
9,1061
10,932
11,927
12,838
13,965
14,965
15,935
16,789
17,988
18,930
19,835
20,805
21,40
