interval_sec,num_actions
0,1954
1,1729
2,1506
3,1630
4,1624
5,1525
6,1485
7,1266
8,1466
9,1718
10,1638
11,1599
12,1586
13,1547
14,1710
15,1556
16,1537
17,1477
18,1555
19,1384
20,1397
