interval_sec,num_actions
0,1501
1,1455
2,1327
3,1247
4,939
5,1128
6,1094
7,1282
8,1165
9,1069
10,1134
11,1148
12,1066
13,1019
14,1059
15,984
16,1041
17,1052
18,965
19,1049
20,787
