interval_sec,num_actions
0,1730
1,1488
2,1507
3,1283
4,1343
5,1319
6,1352
7,1207
8,1229
9,1201
10,1159
11,1267
12,1100
13,1132
14,1137
15,1074
16,1087
17,1134
18,1098
19,1104
20,948
21,123
