interval_sec,num_actions
0,1313
1,1083
2,1129
3,1163
4,1149
5,1118
6,1128
7,1069
8,1083
9,1241
10,972
11,1140
12,1129
13,1048
14,1103
15,1140
16,1156
17,1081
18,1000
19,1067
20,814
