interval_sec,num_actions
0,1224
1,1184
2,1170
3,1044
4,1087
5,998
6,1005
7,979
8,1006
9,955
10,946
11,770
12,874
13,804
14,920
15,885
16,961
17,819
18,741
19,899
20,419
