interval_sec,num_actions
0,1714
1,1719
2,1519
3,1693
4,1604
5,1552
6,1721
7,1580
8,1700
9,1714
10,1894
11,1490
12,1676
13,1590
14,1491
15,1775
16,1711
17,1766
18,1623
19,1458
20,937
